Timestamp,Room,Person Detected,Detected Activities
23/01/2024 17:00,Living Room,"[""3bc51062"", ""cd9fb1e1"", ""6e81b125"", ""b554d1a6""]","[""reading"", ""playing"", ""playing"", ""relaxing""]"
23/01/2024 19:24,Room 1 ,"[""3bc51062""]","[""sleeping""]"
23/01/2024 21:48,Room 2 ,"[""cd9fb1e1"", ""6e81b125"", ""b554d1a6""]","[""relaxing"", ""sleeping"", ""reading""]"
24/01/2024 00:12,Room 1 ,"[""3bc51062""]","[""sleeping""]"
24/01/2024 02:36,Room 2 ,"[""cd9fb1e1"", ""6e81b125"", ""b554d1a6""]","[""sleeping"", ""sleeping"", ""sleeping""]"
24/01/2024 05:00,Entrance,[54555694],"[""suspicious activities""]"
24/01/2024 07:24,Living Room,"[""cd9fb1e1"", ""6e81b125"", ""b554d1a6""]","[""cooking"", ""cooking"", ""reading""]"
24/01/2024 09:48,Living Room,"[""cd9fb1e1"", ""6e81b125"", ""b554d1a6""]","[""eating"", ""eating"", ""eating""]"
24/01/2024 12:12,Entrance,"[""cd9fb1e1"", ""6e81b125"", ""b554d1a6""]","[""leaving"", ""leaving"", ""leaving""]"
24/01/2024 14:36,Room 1 ,"[""3bc51062""]","[""sleeping""]"
